"sales_channel","trip_type","booking_origin","total_bookings","completed_bookings","baggage_addons","seat_addons","meal_addons","total_addons","avg_passengers","avg_purchase_lead_days","completion_rate_pct","avg_addons_per_completed_booking"
"Internet","RoundTrip","Australia","16163","872","11436","5468","8251","25155","1.46","79.43","5.4","28.85"
"Internet","RoundTrip","Malaysia","6361","2248","4840","1951","2684","9475","1.68","88.29","35.34","4.21"
"Internet","RoundTrip","South Korea","4035","420","2493","980","1664","5137","1.76","91.03","10.41","12.23"
"Internet","RoundTrip","Japan","3241","467","1755","1058","1187","4000","1.52","80.42","14.41","8.57"
"Internet","RoundTrip","China","2740","610","1543","382","739","2664","2.04","80.4","22.26","4.37"
"Internet","RoundTrip","Indonesia","1970","535","1313","482","788","2583","1.74","123.42","27.16","4.83"
"Internet","RoundTrip","Taiwan","1829","217","1230","410","739","2379","1.47","75.42","11.86","10.96"
"Mobile","RoundTrip","Australia","1508","21","937","622","736","2295","1.33","66.34","1.39","109.29"
"Internet","RoundTrip","Thailand","1608","384","1123","472","474","2069","1.88","122.63","23.88","5.39"
"Internet","RoundTrip","India","1104","129","812","410","559","1781","1.67","82.08","11.68","13.81"
"Internet","RoundTrip","New Zealand","975","54","648","177","433","1258","1.53","128.7","5.54","23.3"
"Mobile","RoundTrip","Malaysia","788","214","527","279","297","1103","1.63","82.6","27.16","5.15"
"Internet","RoundTrip","Singapore","932","265","527","238","313","1078","1.48","63.52","28.43","4.07"
"Mobile","RoundTrip","Japan","618","9","291","212","204","707","1.53","77.17","1.46","78.56"
"Mobile","RoundTrip","China","614","83","343","148","200","691","2.19","79.7","13.52","8.33"
"Mobile","RoundTrip","Thailand","415","84","270","149","145","564","1.78","105.96","20.24","6.71"
"Mobile","RoundTrip","South Korea","433","42","235","115","153","503","1.69","93.91","9.7","11.98"
"Internet","RoundTrip","United States","423","79","241","116","133","490","1.44","70.41","18.68","6.2"
"Internet","RoundTrip","Vietnam","355","112","259","93","130","482","1.34","69.47","31.55","4.3"
"Mobile","RoundTrip","Indonesia","383","76","213","91","132","436","1.55","119.97","19.84","5.74"
"Internet","RoundTrip","Hong Kong","268","69","167","79","107","353","1.5","82.24","25.75","5.12"
"Internet","RoundTrip","Macau","271","86","232","24","92","348","1.13","43.98","31.73","4.05"
"Internet","RoundTrip","Philippines","224","67","165","80","101","346","1.44","58.91","29.91","5.16"
"Mobile","RoundTrip","Taiwan","217","7","121","62","77","260","1.43","71.61","3.23","37.14"
"Mobile","RoundTrip","India","161","2","117","56","77","250","1.74","93.66","1.24","125"
"Internet","RoundTrip","United Kingdom","165","21","114","52","64","230","1.51","80.35","12.73","10.95"
"Internet","RoundTrip","Brunei","151","39","125","37","50","212","1.6","54.18","25.83","5.44"
"Internet","OneWay","Australia","130","5","95","37","49","181","1.45","109.79","3.85","36.2"
"Mobile","RoundTrip","Singapore","107","34","69","43","39","151","1.56","79.84","31.78","4.44"
"Internet","RoundTrip","Cambodia","116","34","77","30","30","137","1.24","61.9","29.31","4.03"
"Internet","RoundTrip","Sri Lanka","64","1","44","33","43","120","1.22","48.95","1.56","120"
"Internet","CircleTrip","Australia","68","2","58","22","30","110","1.47","88.99","2.94","55"
"Mobile","RoundTrip","New Zealand","78","0","54","20","35","109","1.4","111.69","0","null"
"Internet","OneWay","South Korea","79","0","52","16","33","101","1.51","100.04","0","null"
"Internet","RoundTrip","(not set)","74","14","47","19","25","91","1.69","81.22","18.92","6.5"
"Internet","RoundTrip","Germany","54","12","36","22","24","82","1.28","113.17","22.22","6.83"
"Internet","RoundTrip","Mauritius","40","3","32","17","30","79","1.63","49.45","7.5","26.33"
"Internet","RoundTrip","Italy","51","10","41","11","20","72","1.61","51.9","19.61","7.2"
"Mobile","RoundTrip","Philippines","39","8","30","18","19","67","1.38","58.13","20.51","8.38"
"Internet","RoundTrip","United Arab Emirates","39","3","25","15","24","64","1.41","56.51","7.69","21.33"
"Internet","RoundTrip","Canada","55","2","30","13","20","63","1.42","77.93","3.64","31.5"
"Internet","RoundTrip","France","49","13","30","13","18","61","1.24","60.02","26.53","4.69"
"Internet","RoundTrip","Netherlands","43","2","27","13","18","58","1.56","70.23","4.65","29"
"Internet","RoundTrip","Bangladesh","33","2","27","8","21","56","1.33","32.7","6.06","28"
"Internet","RoundTrip","Myanmar (Burma)","37","11","24","9","14","47","1.43","65.24","29.73","4.27"
"Mobile","RoundTrip","Vietnam","30","2","21","12","14","47","1.2","72.57","6.67","23.5"
"Internet","RoundTrip","Saudi Arabia","34","11","24","8","11","43","1.62","50.15","32.35","3.91"
"Internet","RoundTrip","Nepal","36","3","21","8","14","43","1.22","34.06","8.33","14.33"
"Mobile","RoundTrip","Macau","31","9","19","9","12","40","1.1","29.65","29.03","4.44"
"Mobile","RoundTrip","Hong Kong","23","4","16","11","13","40","1.43","51.96","17.39","10"
"Internet","RoundTrip","Spain","27","1","19","9","10","38","1.26","77.15","3.7","38"
"Internet","OneWay","China","29","1","21","4","11","36","2.93","97.24","3.45","36"
"Internet","RoundTrip","Laos","24","6","19","7","8","34","1.79","69.21","25","5.67"
"Internet","OneWay","Taiwan","25","0","22","7","5","34","1.48","102.88","0","null"
"Internet","RoundTrip","Russia","31","3","17","5","10","32","2.06","77.35","9.68","10.67"
"Mobile","RoundTrip","United States","25","4","13","9","9","31","1.32","64.2","16","7.75"
