"sales_channel","trip_type","booking_origin","total_sessions","completed_sessions","dropped_sessions","completion_rate_pct","drop_rate_pct","lost_addon_opportunities","volume_leakage_rank","rate_leakage_rank","leakage_priority_score"
"Internet","RoundTrip","Australia","16163","872","15291","5.4","94.6","23588","1","15","9212.44"
"Internet","RoundTrip","Malaysia","6361","2248","4113","35.34","64.66","5823","2","56","2493.66"
"Internet","RoundTrip","South Korea","4035","420","3615","10.41","89.59","4498","3","24","2204.84"
"Internet","RoundTrip","Japan","3241","467","2774","14.41","85.59","3353","4","29","1698.64"
"Internet","RoundTrip","China","2740","610","2130","22.26","77.74","1907","5","39","1309.1"
"Internet","RoundTrip","Taiwan","1829","217","1612","11.86","88.14","2124","6","26","1002.46"
"Mobile","RoundTrip","Australia","1508","21","1487","1.39","98.61","2266","7","5","931.64"
"Internet","RoundTrip","Indonesia","1970","535","1435","27.16","72.84","1725","8","45","890.14"
"Internet","RoundTrip","Thailand","1608","384","1224","23.88","76.12","1473","9","40","764.85"
"Internet","RoundTrip","India","1104","129","975","11.68","88.32","1529","10","25","620.33"
"Internet","RoundTrip","New Zealand","975","54","921","5.54","94.46","1186","11","16","590.38"
"Internet","RoundTrip","Singapore","932","265","667","28.43","71.57","734","12","47","428.83"
"Mobile","RoundTrip","Japan","618","9","609","1.46","98.54","688","13","6","404.82"
"Mobile","RoundTrip","Malaysia","788","214","574","27.16","72.84","734","14","45","373.54"
"Mobile","RoundTrip","China","614","83","531","13.52","86.48","566","15","28","353.19"
"Mobile","RoundTrip","South Korea","433","42","391","9.7","90.3","434","16","23","270.72"
"Internet","RoundTrip","United States","423","79","344","18.68","81.32","375","17","32","238.93"
"Mobile","RoundTrip","Thailand","415","84","331","20.24","79.76","435","18","36","230.5"
"Mobile","RoundTrip","Indonesia","383","76","307","19.84","80.16","327","19","35","216.26"
"Internet","RoundTrip","Vietnam","355","112","243","31.55","68.45","325","20","52","173.18"
